date,series,value,interpolated
2026-03-28,CPT,100.0,False
2026-04-04,AMH,100.0,False
2026-04-04,CPT,99.3,False
2026-04-04,INVH,100.0,False
2026-04-04,MAA,100.0,False
2026-04-11,AMH,99.09,False
2026-04-11,CPT,98.61,False
2026-04-11,INVH,98.62,False
2026-04-11,MAA,102.45,False
2026-04-18,AMH,98.71,False
2026-04-18,CPT,99.24,False
2026-04-18,INVH,99.39,False
2026-04-18,MAA,100.11,False
2026-04-25,AMH,98.32,False
2026-04-25,CPT,98.61,False
2026-04-25,INVH,99.58,False
2026-04-25,MAA,100.17,False
2026-05-02,AMH,97.68,False
2026-05-02,CPT,98.24,False
2026-05-02,INVH,100.22,False
2026-05-02,MAA,101.57,False
2026-05-09,AMH,97.42,False
2026-05-09,CPT,98.52,False
2026-05-09,INVH,97.25,False
2026-05-09,MAA,100.43,False
2026-05-16,AMH,96.96,False
2026-05-16,CPT,98.86,False
2026-05-16,INVH,101.2,False
2026-05-16,MAA,100.39,False
2026-05-23,AMH,96.18,False
2026-05-23,CPT,100.4,False
2026-05-23,INVH,101.26,False
2026-05-23,MAA,97.87,False
2026-05-30,AMH,95.75,False
2026-05-30,CPT,101.17,False
2026-05-30,INVH,101.345,True
2026-05-30,MAA,97.04,False
2026-06-06,AMH,95.13,False
2026-06-06,CPT,100.04,False
2026-06-06,INVH,101.43,False
2026-06-06,MAA,97.37,False
2026-06-13,AMH,94.62,False
2026-06-13,CPT,99.92,False
2026-06-13,INVH,100.07,False
2026-06-13,MAA,97.22,False
2026-06-20,AMH,94.134,True
2026-06-20,CPT,100.9,False
2026-06-20,INVH,100.156,True
2026-06-20,MAA,96.5,False
2026-06-27,AMH,93.648,True
2026-06-27,CPT,100.6275,True
2026-06-27,INVH,100.242,True
2026-06-27,MAA,96.175,True
2026-07-04,AMH,93.162,True
2026-07-04,CPT,100.355,True
2026-07-04,INVH,100.328,True
2026-07-04,MAA,95.85,True
2026-07-11,AMH,92.676,True
2026-07-11,CPT,100.0825,True
2026-07-11,INVH,100.414,True
2026-07-11,MAA,95.525,True
2026-07-18,AMH,92.19,False
2026-07-18,CPT,99.81,False
2026-07-18,INVH,100.5,False
2026-07-18,MAA,95.2,False
2026-07-25,AMH,91.89,True
2026-07-25,CPT,99.38,True
2026-07-25,INVH,100.1,True
2026-07-25,MAA,95.73,True
2026-08-01,AMH,91.59,False
2026-08-01,CPT,98.95,False
2026-08-01,INVH,99.7,True
2026-08-01,MAA,96.26,False
2026-08-08,AMH,91.12,False
2026-08-08,CPT,98.5,False
2026-08-08,INVH,99.3,False
2026-08-08,MAA,94.55,False
2026-08-15,AMH,90.69,False
2026-08-15,CPT,97.19,False
2026-08-15,INVH,98.78,False
2026-08-15,MAA,94.9,False
2026-08-22,AMH,90.01,False
2026-08-22,CPT,96.78,False
2026-08-22,INVH,98.36,False
2026-08-22,MAA,94.76,False
2026-08-29,AMH,88.88,False
2026-08-29,CPT,94.21,False
2026-08-29,INVH,96.77,False
2026-08-29,MAA,91.22,False
2026-09-05,AMH,88.84,False
2026-09-05,CPT,93.84,False
2026-09-05,INVH,96.25,False
2026-09-05,MAA,90.94,False
